1       0,38,41,42,42,42,42,42,42,42,41,38,11,11,11,11,11,12,12,12,11,11,12,12,12,11,11,12,12,12,12,11,11,20,30,32,34,35,37,38,39,40,41,38,33,28,24,19,14,10,10,9,9,9,9,9,8,8,8,8,8,8,9,8,8,8,9,15,19,21,20,20,21,21,22,23,24,25,27,29,32,39,37,35,33,31,29,26,23,19,13,0,0,0,0,2,8,50,57,59,62,63,65,66,67,69,67,63,51,37,36,34,33,33,32,32,32,31,31,31,32,32,32,33,34,34,36,37,39,43,53,61,60,59,57,54,53,49,45
2       0,0,0,10,19,24,27,30,32,35,37,38,39,32,27,27,25,25,25,23,25,25,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,24,24,24,24,24,24,24,22,22,22,22,22,22,23,23,23,23,23,22,22,22,23,23,23,23,23,24,24,24,24,24,24,23,24,25,24,25,25,26,29,31,33,38,36,34,32,30,28,26,22,18,7,13,55,62,66,70,73,75,76,78,80,82,84,58,31,27,25,24,22,21,21,20,20,20,20,20,20,21,20,21,22,22,24,27,28,38,82,83,81,80,78,76,74,72,68,63,59,32
3       12,11,10,14,17,18,23,27,30,32,34,35,37,38,30,29,27,26,25,24,24,24,23,25,23,22,22,22,22,23,23,23,24,24,23,23,24,25,25,26,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,22,22,22,23,23,22,22,22,23,24,24,24,25,25,26,28,27,31,38,37,35,33,32,30,28,25,19,17,48,62,68,72,76,78,81,82,84,84,85,71,36,28,27,25,22,23,21,21,20,20,21,21,21,21,22,21,21,24,25,26,26,31,74,82,82,80,78,75,73,71,67,65,60,42,9
4       0,0,0,2,14,19,23,27,29,31,33,35,36,29,26,25,24,23,21,20,19,19,19,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,21,22,23,24,27,35,34,30,24,24,24,21,17,11,0,0,0,0,0,0,0,0,22,55,60,64,67,69,71,73,75,77,70,26,24,23,21,19,19,19,18,18,18,18,18,19,18,18,18,19,19,21,21,21,21,23,26,75,74,73,72,70,67,65,61
5       0,0,0,1,11,18,22,26,28,30,32,34,36,33,26,26,23,22,22,20,21,20,20,20,20,19,19,19,20,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,23,24,25,27,34,34,33,31,29,26,23,20,16,9,0,0,0,0,0,53,59,63,66,68,70,73,75,77,74,27,25,23,22,22,20,20,20,20,20,19,18,20,19,19,20,19,19,20,22,23,24,25,28,79,78,76,74,72,70,67,64,59,52
6       0,1,22,40,40,40,40,40,40,40,40,39,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,26,31,32,33,35,36,36,37,38,32,27,24,19,14,10,10,10,10,9,9,9,9,9,9,10,9,10,9,9,9,9,9,12,17,18,19,20,20,20,21,21,22,23,24,26,31,36,34,32,30,28,26,22,20,13,6,0,0,0,5,10,54,58,59,61,63,63,65,65,61,59,36,32,31,31,29,29,30,29,29,29,30,30,29,28,29,29,30,33,33,35,36,41,57,56,55,54,50,48,45,38,23,2,0,0
7       0,0,2,4,7,10,12,14,14,13,13,13,13,14,14,13,13,13,13,13,13,12,13,13,12,12,12,12,12,11,12,11,12,11,11,11,11,11,11,11,11,10,21,27,30,31,33,34,36,37,38,38,34,29,27,25,24,22,22,21,21,20,19,19,19,19,18,18,19,19,19,19,19,19,21,21,22,22,24,24,26,28,32,36,36,34,32,30,28,24,22,17,0,0,0,0,18,27,33,40,45,49,52,56,59,61,52,51,48,49,47,45,42,41,41,38,37,37,37,36,36,37,37,38,37,38,36,36,37,38,46,46,42,39,37,35,31,28,23
8       18,17,15,17,17,18,15,14,15,15,14,14,14,14,13,13,14,13,13,13,12,12,13,12,13,12,12,11,12,11,12,11,11,11,12,11,12,11,11,10,11,12,23,26,29,30,33,34,35,36,37,39,32,29,28,26,25,23,22,22,20,20,19,19,19,19,19,19,19,19,20,20,20,19,19,21,23,23,25,27,27,32,36,36,34,32,30,28,25,20,17,15,0,0,0,9,21,29,35,40,46,52,56,59,64,59,55,54,54,53,54,52,49,47,45,43,40,39,38,38,37,37,37,38,39,38,37,37,37,38,49,45,41,37,35,31,27,26,24
9       4,6,9,12,14,15,15,15,15,15,14,14,14,14,13,13,14,13,13,13,13,13,13,12,13,12,13,12,13,12,13,12,11,12,12,11,11,11,11,13,25,29,30,33,34,35,36,38,39,39,32,27,27,25,24,24,23,23,21,21,20,21,21,21,21,21,21,21,21,20,21,22,23,23,25,25,26,28,30,38,36,35,34,32,29,26,24,19,16,8,0,0,0,0,8,21,30,36,41,46,50,54,57,59,62,52,49,49,47,48,45,44,42,41,41,40,39,39,39,39,38,38,39,38,39,39,38,40,42,49,46,42,38,36,33,30,26,22,20
10       0,0,0,0,0,0,5,7,10,13,15,16,16,16,15,15,15,15,15,15,14,14,15,14,14,14,14,14,13,13,14,13,14,13,13,13,12,13,12,13,12,12,13,13,16,27,30,31,33,35,37,38,39,40,39,32,30,27,25,24,24,22,22,20,20,20,20,19,19,19,19,20,20,20,21,20,22,22,22,23,25,26,28,33,39,37,36,34,31,28,25,23,0,0,0,16,25,32,38,42,46,50,54,56,59,61,52,51,48,48,47,47,43,40,39,37,38,36,36,36,37,35,36,37,36,35,36,37,37,39,47,47,44,41,38,36,34,31,29
